id,nume,kcal,proteine,carbo,grasimi,fibre,pret_per_kg,sursa,nota
patrunjel,"Pătrunjel verde, proaspăt",36,2.97,6.33,0.79,3.3,50,USDA FDC 170416,"Parsley, fresh; preț estimat 2026"
marar,"Mărar, proaspăt",43,3.46,7.02,1.12,2.1,50,USDA FDC 172233,"Dill weed, fresh; preț estimat 2026"
lamaie_suc,"Suc de lămâie, proaspăt",22,0.35,6.9,0.24,0.3,22,USDA FDC 167747,"Lemon juice, raw; preț estimat 2026"
ulei_floarea_soarelui,Ulei de floarea-soarelui,884,0,0,100,0,10,USDA FDC 171025,"Oil, sunflower, linoleic, (approx. 65%); preț estimat 2026"
ulei_masline,Ulei de măsline,884,0,0,100,0,50,USDA FDC 171413,"Oil, olive, salad or cooking; preț estimat 2026"
zahar,Zahăr tos,387,0,100,0,0,5,USDA FDC 169655,"Sugars, granulated; preț estimat 2026"
sare,Sare de masă,0,0,0,0,0,2,USDA FDC 173468,"Salt, table; preț estimat 2026"
piper,Piper negru măcinat,251,10.4,64,3.26,25.3,120,USDA FDC 170931,"Spices, pepper, black; preț estimat 2026"
boia,Boia de ardei dulce,282,14.1,54,12.9,34.9,60,USDA FDC 171329,"Spices, paprika; USDA nu distinge boia dulce de iute; preț estimat 2026"
foi_dafin,Foi de dafin,313,7.61,75,8.36,26.3,150,USDA FDC 170917,"Spices, bay leaf; preț estimat 2026"
otet,Oțet (distilat),18,0,0.04,0,0,4,USDA FDC 172237,"Vinegar, distilled; preț estimat 2026"
apa,Apă,0,0,0,0,0,0,USDA FDC 173647,"Beverages, water, tap, drinking; preț estimat 2026"
sos_soia,Sos de soia,53,8.14,4.93,0.57,0.8,30,USDA FDC 174277,Soy sauce made from soy and wheat (shoyu); preț estimat 2026
miere,Miere,304,0.3,82.4,0,0.2,40,USDA FDC 169640,Honey; preț estimat 2026
otet_mere,Oțet de mere,21,0,0.93,0,0,8,USDA FDC 173469,"Vinegar, cider; preț estimat 2026"
ghimbir,Ghimbir proaspăt,80,1.82,17.8,0.75,2,25,USDA FDC 169231,"Ginger root, raw; preț estimat 2026"
ulei_susan,Ulei de susan,884,0,0,100,0,80,USDA FDC 171016,"Oil, sesame, salad or cooking; preț estimat 2026"
amidon_porumb,Amidon de porumb,381,0.26,91.3,0.05,0.9,12,USDA FDC 169698,Cornstarch; preț estimat 2026
seminte_susan,Semințe de susan,573,17.7,23.4,49.7,11.8,30,USDA FDC 170150,"Seeds, sesame seeds, whole, dried; preț estimat 2026"
ceapa_verde,Ceapă verde,32,1.83,7.34,0.19,2.6,20,USDA FDC 170005,"Onions, spring or scallions (includes tops and bulb), raw; preț estimat 2026"
sos_teriyaki,Sos teriyaki (din comerț),89,5.93,15.6,0.02,0.1,40,USDA FDC 171167,"Sauce, teriyaki, ready-to-serve; valoare generică; pentru exact, de pe eticheta sticlei; preț estimat 2026"
boia_afumata,Boia de ardei afumată,282,14.1,54,12.9,34.9,80,USDA FDC 171329,"Spices, paprika; USDA nu are boia afumată separat; aceleași valori ca paprika; preț estimat 2026"
